video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=6PECS63IBw0&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@GirlTalksFish,Girl Talks Fish,My Honest Review of 10 Beginner Fish from Petco,228K,3 years,"I feel like a lot of people get into aquariums because they went to Petco or PetSmart and thought, “Wouldn't it be nice to have a ...",2026-01-20 22:16:25.343307
/watch?v=WKr4WfuEQWU&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@AquariumCoop,Aquarium Co-Op,Top 10 EASY Fish That Every BEGINNER Needs,819K,5 years,"Visit https://aquariumcoop.com/ to buy aquarium plants, lights, fish food, and more from Aquarium Co-Op Buy fish at ...",2026-01-20 22:16:25.345808
/watch?v=Z9mbK5mwtok&t=59s&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@KGTropicals,KGTropicals,A MUST WATCH For New Fish Keepers! FIRST AQUARIUM! K.F.K.F.K.,788K,5 years,Get all the extra benefits by becoming a channel member. https://www.youtube.com/channel/UCyyGJeKITfR7Y5cq2zX4-oQ/join ...,2026-01-20 22:16:25.347942
/watch?v=og9aN9_jJ-o&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@KGTropicals,KGTropicals,Top 10 Aquarium Fish For Beginners! Your First Aquarium!,730K,6 years,Get all the extra benefits by becoming a channel member. https://www.youtube.com/channel/UCyyGJeKITfR7Y5cq2zX4-oQ/join ...,2026-01-20 22:16:25.349173
/watch?v=ShIH7sz0_8Y&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@FishShopMatt,Fish Shop Matt,"Top 9 Beginner Fish for your aquarium! Hardy, colourful and easy to keep!",63K,5 months,"I wanted to try a new type of video for you all! When I go round and visit different shops, I see lots of fish that people may not have ...",2026-01-20 22:16:25.351405
/watch?v=uQzAnnZUwsU&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@PrimeTimeAquatics,Prime Time Aquatics,The Top 10 BEST Beginner Fish in The WORLD!,71K,2 years,"Hello Everyone, In this video we look at some great beginner fish options! If you want more info on some of the fish featured in this ...",2026-01-20 22:16:25.353253
/watch?v=lZoebNGcTdA&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@AquariumStoreDepot,Aquarium Store Depot,Fish Beginners Regret Buying,46K,2 weeks,"Buying the wrong fish as a beginner can ruin the entire aquarium hobby. Pet stores will happily sell you fish that grow massive, ...",2026-01-20 22:16:25.355183
/watch?v=5ohj-NVw-1A&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@AquariumCoop,Aquarium Co-Op,My 12 Favorite Small Fish for Your Aquarium! (Beginner-Friendly also),61K,11 months,"Looking for the best small aquarium fish for your tank? In this video, I'll share my 12 favorite small fish that are perfect for ...",2026-01-20 22:16:25.357154
/watch?v=NJFLFBwXK28&pp=ygUNYmVnaW5uZXIgZmlzaA%3D%3D,/@KeepingFishSimple,KeepingFishSimple,11 UNSTOPPABLE Fish That THRIVE in Any Aquarium!,593K,1 year,ONLINE STORE - https://keepingfishsimple.com/ Merch - https://keepingfishsimple.com/collections/merchandise Visit my store at ...,2026-01-20 22:16:25.359094
/shorts/axwCHxMRwVY,/@outdoorjoe,Outdoor Joe,$50 Dollar Fish Aquarium Challenge at Walmart (NEW FISH) #shorts,2.6M,2 years,Dollar Fish Aquarium Challenge at Walmart (NEW FISH) Like and follow for updates! #fish #aquarium #newfish #shorts #pets ...,2026-01-20 22:16:25.360472
